"0";"KUGLARSTWO";" Przemiany, sztuczka";" 1 akcja";" 3 metry";" W, S";" Do 1 godziny";" Wywołujesz jeden z magicznych efektów:<br>1. Sensoryczny, np.: deszcz iskier, podmuch wiatru, muzyka lub dziwaczny zapach.<br>2. Natychmiast gasisz/zapalasz świecę, pochodnię lub małe ognisko.<br>3. Natychmiast oczyszczasz/brudzisz obiekt o objętości do 27 litrów.<br>4. Na godzinę schładzasz, podgrzewasz lub nadajesz smak nieożywionej materii o objętości do 27 litrów.<br>5. Sprawiasz, że na obiekcie lub powierzchni, na godzinę pojawia się określony kolor, znak lub symbol.<br>6. Tworzysz niemagiczną błyskotkę/iluzoryczny obraz, mieszczący się w twojej dłoni, będącą widoczną do twojej następnej tury.<br>Jeśli rzucisz to zaklęcie wiele razy, możesz jednocześnie utrzymać do trzech spośród nienatychmiastowych efektów, a w ramach akcji możesz odwołać pojedynczy efekt.";"Bard"
"3";"STRACH";" Iluzje, 3. krąg";" 1 akcja";" Na siebie (stożek o długości 8 metrów)";" W, S, M (białe piórko lub kurze serce)";" Koncentracja, do 1 minuty";" Tworzysz koszmarną projekcję najgorszych lęków innego stworzenia. Każda istota na obszarze stożka o długości 9m, musi wykonać rzut obronny na mądrość. W przypadku niepowodzenia, upuszcza trzymane rzeczy i staje się przerażona na czas działania czaru. <br>Przerażone stworzenie wykonuje z utrudnieniem wszystkie testy cech i testy ataku, jeśli źródło jej strachu znajduje się w zasięgu wzroku. Przerażone stworzenie nie może z własnej woli zbliżyć się do źródła swego strachu.<br><br>Istota przerażona tym czarem, musi w każdej swojej turze wykonać akcję Sprintu, by jak najbardziej oddalać się od ciebie najbezpieczniejszą możliwą drogą, chyba że nie ma dokąd uciec. Jeśli zakończysz swoją turę w miejscu, w którym nie ma cię już w zasięgu wzroku, może wykonać rzut obronny na Mądrość. Jeśli jej się powiedzie, wyzwala się spod efektu przerażenia.";"Bard"
"3";"ŚMIERDZĄCA CHMURA";" Przywoływanie, 3. krąg";" 1 akcja";" 27 metrów";" W, S, M (zgniłe jajo lub kilka liści skupni)";" Koncentracja, do 1 minuty";" Przywołujesz chmurę żółtego, obrzydliwego gazu, która przyjmuje kształt kuli o średnicy 6m i środka we wskazanym miejscu w zasięgu czaru. Chmura rozprzestrzenia się za rogi i załomy, tworzy obszar o słabej widoczności i unosi się<br>w powietrzu do końca działania zaklęcia.<br><br>Każde stworzenie znajdujące się w całości w chmurze, na początku swojej tury, musi wykonać rzut obronny na Kondycję przeciw truciźnie. W przypadku niepowodzenia, zużywa swoją akcję w tej turze na walkę z nudnościami i zawrotami głowy. Istoty, które nie muszą oddychać lub są<br>niepodatne na trucizny, odnoszą w tym rzucie automatyczny sukces.<br><br>Umiarkowany wiatr (co najmniej 15 km/h), rozwiewa chmurę w ciągu 4 rund. Silny wiatr (co najmniej 30km/h), rozwiewa ją w ciągu 1 rundy.";"Bard"
"3";"WIĘKSZY OBRAZ";" Iluzje, 3. krąg";" 1 akcja";" 36 metrów";" W, S, M (odrobina runa)";" Koncentracja, do 10 minut";" Tworzysz iluzoryczny obraz obiektu, istoty, itp., mieszczący się w sześcianie o boku 6m.Obraz pojawia się w miejscu, które widzisz w zasięgu, i istnieje przez cały czas trwania czaru. Iluzja zawiera dźwięki, zapachy i odczucia temperatury odpowiednie dla kopiowanej rzeczy. Nie możesz w ten sposób stworzyć wystarczającej ilości ciepła zimna, dźwięku, zapachu by spowodować obrażenia. Możesz w ramach swojej akcji przenieść obraz w inne miejsce. Gdy zmienia on swoje położenie, możesz wpłynąć na jego wygląd tak, by oddawał naturalny ruch imitowanej rzeczy. Możesz też sprawić, by iluzji towarzyszyły dźwięki, pojawiające się w różnych momentach, a nawet sprawiające wrażenie rozmowy. Fizyczny kontakt z obrazem zdemaskuje iluzję. Stworzenie może w ramach swojej akcji zbadać obraz i rozpoznać w nim iluzję, dzięki udanemu testowi Inteligencji (Śledztwo) o ST rzutu obronnego przeciw twoim czarom. Istota, która poznała się na iluzji, może widzieć przez jej obraz, a pozostałe składowe sensoryczne stają się dla niej słabe i niewyraźne. Na wyższych kręgach. Jeśli rzucasz ten czar, wykorzystując komórkę co najmniej 6. kręgu, będzie on trwał do rozproszenia, bez potrzeby twojej koncentracji.";"Bard"
"4";"DRZWI PRZEZ WYMIARY";" Przywoływanie, 4. krąg";" 1 akcja";" 150 metrów";" W";" Natychmiastowy";" Teleportujesz się do innego miejsca znajdującego się w zasięgu czaru. Pojawiasz się dokładnie w wybranym punkcie. Może to być miejsce, które widzisz albo które potrafisz sobie wyobrazić lub opisać, określając kierunek i odległość, na przykład: ,,60 metrów prosto w dól albo ,,w górę na północny zachód pod kątem 45 stopni, 90 metrów. <br><br>Możesz przemieścić się razem z przedmiotami, których łączny ciężar nie przekracza twojego udźwigu, a także zabrać ze sobą jedną przychylną istotę w rozmiarze nieprzekraczającym twojego, której wyposażenie nie przekracza jej udźwigu. W momencie rzucania czaru musi znajdować się ona nie dalej niż 1,5 metra od ciebie. Jeśli mielibyście pojawić się w miejscu zajętym przez jakiś obiekt albo stworzenie, ty i towarzysząca ci istota otrzymujecie po<br>4k6 obrażeń od mocy, a czar się nie udaje.";"Bard"
"4";"ILUZORYCZNY TEREN";" Iluzje, 4. krąg";" 10 minut";" 90 metrów";" W, S, M (kamień, gałązka i fragment rośliny zielonej)";" 24 godziny";" Sprawiasz, że naturalny teren w obrębie sześcianu o boku 45 metrów zaczyna wyglądać, pachnieć i brzmieć, jakby był naturalnym terenem innego typu. Pole albo droga mogą wydać się bagniskiem, wzgórzem, rozpadliną lub innym trudnym albo wręcz nieprzebytym terenem. Staw możesz skryć pod iluzją wonnej łąki, przepaść pokazać jako łagodny stok, skalisty wąwóz może zostać szeroką i równą drogą. Nie wpływasz na wygląd wytworzonych obiektów znajdujących się na tym obszarze, takich jak budowle czy wyposażenie, ani przebywających tam stworzeń.<br><br>Namacalnie teren nie ulega jednak zmianie, więc stworzenia wchodzące na jego obszar łatwo przejrzą iluzję. Jeśli różnica w dotyku nie jest oczywista, istota badająca uważnie iluzję może wykonać test Inteligencji (Śledztwo) o ST rzutu<br>obronnego przeciw twoim czarom, by przestać w nią wierzyć. Istota, która przejrzała iluzję, widzi jej nikły obraz nałożony na prawdziwy teren.";"Bard"
"4";"ODNALEZIENIE ISTOTY";" Wieszczenie, 4. krąg";" 1 akcja";" Na siebie";" W, S, M (odrobina sierści psa gończego)";" Koncentracja, do 1 godziny";" Podajesz opis lub nazwę znanej ci istoty. <br> Wyczuwasz, w jakim kierunku się znajduje, o ile nie jest oddalona od ciebie o więcej niż 300 metrów. Jeśli się porusza, dowiadujesz się, w<br>jakim kierunku. <br><br>Przy pomocy tego czaru, możesz odnaleźć konkretną znaną istotę albo najbliższe stworzenie określonego rodzaju (na przykład człowieka albo jednorożca), o ile widziałeś takie przynajmniej raz z odległości do 9 metrów. Jeśli forma poszukiwanej istoty została zmieniona, na przykład zaklęciem polimorfia, to ten czar jej nie odnajdzie. Czar nie zadziała także, jeśli od poszukiwanej istoty dzieli cię płynąca woda o szerokości co najmniej 3 metrów (patrząc w<br>linii prostej).";"Bard"
"4";"POLIMORFIA";" Przemiany, 4. krąg";" 1 akcja";" 18 metrów";" W, S, M (kokon gąsienicy)";" Koncentracja, do 1 godziny";" Polimorfujesz istotę. Musi ona wykonać udany rzut obronny na Mądrość, by tego uniknąć. <br>zaklęcie nie działa na zmiennokształtnych, ani istoty mające 0 PW. Zmiana formy trwa, dopóki działa czar, a jego cel żyje i ma więcej niż 0 PW. Nową formą może być postać jakiejkolwiek bestii o stopniu wyzwania nie większym od SW polimorfowanej istoty (lub od jej poziomu, jeśli nie posiada ona stopnia wyzwania). Statystyki nowej formy, w tym cechy umysłowe, zostaną zastąpione statystykami wybranej bestii. Zachowany zostaje tylko charakter i osobowość.<br>Polimorfowana istota przyjmuje punkty wytrzymałości swojej nowej formy. Wracając do swej naturalnej postaci. powraca też do poziomu punktów wytrzymałości, jaki miała przed przemianą. Jeśli powraca do naturalnej postaci w efekcie spadku punktów wytrzymałości do 0, to pozostałe obrażenia otrzymuje jej naturalna forma. Jeśli w efekcie jej naturalne PW nie spadną do 0, pozostaje przytomna. Akcje istoty ograniczone są możliwościami jej nowej formy, a przy tym nie może mówić, rzucać zaklęć ani przeprowadzać innych akcji wymagających użycia rąk lub mowy. Wyposażenie stapia się z nową formą i istota nie może z niego korzystać ";"Bard"
"4";"PRZYMUS";" Uroki, 4. krąg";" 1 akcja";" 9 metrów";" W,S";" Koncentracja, do 1 minuty";" Słyszące cię istoty, które wybierzesz spośród widzianych w zasięgu czaru, muszą wykonać rzut obronny na Mądrość. Stworzenia niepodatne na zauroczenie odnoszą automatyczny sukces. W przypadku niepowodzenia, cel podlega działaniu czaru. Do końca trwania zaklęcia możesz wykorzystać akcję dodatkową, by wskazać poziomy (dla ciebie) kierunek. Wszystkie objęte czarem stworzenia muszą zużyć cały swój ruch, podążając w tamtą stronę w swojej następnej turze. Zanim się ruszą, mogą wykonać swoje akcje podstawowe. Po przemieszczeniu się w ten sposób, mogą ponowić rzut obronny na Mądrość, by spróbować wyrwać się spod zauroczenia.<br><br>Zauroczona istota nie jest przymuszona do wejścia w śmiertelne niebezpieczeństwo, na przykład w ogień, czy przepaść, ale będzie prowokować ataki okazyjne, by poruszyć<br>się we wskazanym kierunku.";"Bard"
"4";"SWOBODA RUCHU";" Odpychanie, 4. krąg";" 1 akcja";" Dotyk";" W, S, M (rzemień zawiązany wokół ramienia lub podobnej kończyny)";" 1 godzina";" Dotykasz przychylnej ci istoty. Przez czas trwania czaru na jej poruszanie się nie wpływa trudny teren, a zaklęcia i magiczne efekty nie mogą zredukować jej szybkości ani spowodować paraliżu lub unieruchomienia. <br><br>Istota będąca pod wpływem tego zaklęcia, może również zużyć 1.5 metra szybkości, aby automatycznie oswobodzić się z niemagicznych więzów, takich jak kajdany albo bycie pochwyconą.<br><br>Ponadto przebywanie pod wodą nie powoduje u niej kar do ruchu i ataków";"Bard"
"4";"WIĘKSZA NIEWIDZIALNOŚĆ";" Iluzje, 4. krąg";" 1 akcja";" Dotyk";" W, S";" Koncentracja, do 1 minuty";" Dotknięta przez ciebie istota, staje się niewidzialna na czas trwania czaru. Całe wyposażenie, jakie nosi lub ma przy sobie cel zaklęcia, jest niewidzialne, dopóki nie opuści jego posiadania.";"Bard"
"4";"ZAMĘT";" Uroki, 4. krąg";" 1 akcja";" 27 metrów";" W, S, M (trzy łupiny orzecha)";" Koncentracja, do 1 minuty";" Czar atakuje i wypacza umysły. Każde stworzenie znajdujące się w obrębie sfery o promieniu 3 metrów, której punkt wyjścia leży we wskazanym przez ciebie miejscu w zasięgu czaru, musi wykonać rzut obronny na Mądrość. W Przypadku<br>niepowodzenia, ulega wpływowi zaklęcia. Stworzenie pod działaniem zamętu nie może używać reakcji i na początku każdej swojej tury musi rzutem k10 określić swoje zachowanie podczas tej tury. <br>1: Nie wykonuje w tej turze żadnej akcji,swój ruch przeznacza na podążanie w przypadkowym kierunku. Aby go określić, rzuć k8, przypisując każdej ścianie kości konkretny kierunek.<br>2-6: Istota w tej turze, rusza się i nie wykonuje żadnych akcji.<br>7-8: Istota wykorzystuje swoją akcję, by zaatakować wręcz losowe stworzenie w swojej strefie kontroli. Jeśli nie ma żadnego celu w strefie kontroli, to w tej turze nie robi nic.<br>9-10: Istota działa i porusza się normalnie.<br>Pod koniec każdej swojej tury, może wykonać rzut obronny na Mądrość. Sukces oznacza wyzwolenie się...<br><br>Podręcznik gracza str.284";"Bard"
"5";"ANIMOWANIE OBIEKTU";" Przemiany, 5. krąg";" 1 akcja";" 36 metrów";" W, S";" Koncentracja, do 1 minuty";" Wybierz do 10 niemagicznych obiektów, które nie są noszone lub trzymane. Średnie cele liczą się jako dwa obiekty, Duże jako cztery, a Wielkie jako osiem. Większych nie można animować. Możesz wydawać im rozkazy, gdy są w obrębie 150m od ciebie. Gdy nie wydasz polecenia, istota ogranicza<br>się do obrony własnej. <br><br>Obiekt jest konstruktem, od którego rozmiaru zależą PW, KP, zdolności ataku, Siła i Zręczność. Jego pozostałe cechy wynoszą, Kondycja 10, Inteligencja 3, Mądrość 3, Charyzma 1. Porusza się z szybkością 9m. Posiada zdolność ślepowidzenia w promieniu 9m. Kiedy PW=0 -wraca do swojej naturalnej postaci. Obiekt może wykonać pojedynczy atak w zwarciu, przeciw stworzeniu w obrębie 1,5m. Atakuje walnięciem z premią i obrażeniami obuchowymi zależnymi od swojego rozmiaru. MP może zmienić typ obrażeń na kłute lub cięte. Na wyższych kręgach. Jeśli rzucasz ten czar, wykorzystując komórkę co najmniej 6. kręgu, za każdy krąg powyżej 5. możesz animować dwa dodatkowe obiekty. Statystyki animowanego obiektu na str. 211.";"Bard"
"5";"DOMINACJA NAD OSOBĄ";" Uroki, 5. krąg";" 1 akcja";" 18 metrów";" W, S";" Koncentracja, do 1 minuty";" Próbujesz owładnąć umysł humanoidalnej istoty. Jeśli nie zda rzutu obronnego na Mądrość, zostanie zauroczona. Ma ułatwienie w tym teście, jeśli akurat walczyła z tobą lub twoimi sojusznikami. Będąc przytomnym, możesz wydawać telepatyczne polecenia zauroczonej istocie. Może to być prosty i ogólny rozkaz: „Zaatakuj go”, „Pobiegnij tam”, „Przynieś przedmiot”. Jeśli istota po wypełnieniu zadania nie otrzyma kolejnego, będzie ograniczała się do obrony własnej. W ramach swojej akcji możesz przejąć całkowitą kontrolę nad zauroczoną istotą. Do końca twojej następnej tury, będzie wykonywała tylko wybrane przez ciebie akcje i nie zrobi niczego bez twojej zgody. Przez ten czas możesz zmusić ją też do podjęcia reakcji, ale musisz na to zużyć również swoją. Za każdym razem, gdy zniewolona istota otrzyma obrażenia, ponawia rzut obronny na Mądrość. Jeśli odniesie sukces, czar się kończy. <br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę 6. kręgu, wydłużasz maksymalny czas trwania do 10 minut. Wykorzystując komórkę 7. kręgu – do 1 godziny, a wykorzystując komórkę 9. lub wyższego kręgu – do 8 godzin (przy koncentracji).";"Bard"
"5";"GEAS";" Uroki, 5. krąg";" 1 minuta";" 18 metrów";" W";" 30 dni";" Nakładasz magiczny nakaz na stworzenie. Nakaz ten może dotyczyć wykonanie czegoś albo powstrzymanie się przed wykonaniem czegoś. Jeśli cel zaklęcia cię rozumie, wykonuje rzut obronny na Mądrość. W przypadku niepowodzenia, zostaje zauroczony na czas trwania zaklęcia. Otrzymuje 5k10 obrażeń psychicznych za każdym razem, kiedy działa w<br>sposób przeciwny do twojego polecenia, ale nie częściej niż raz dziennie. Istota, która nie rozumie twojego nakazu, nie zostaje nim objęta.<br><br>Możesz wydać dowolny nakaz z wyjątkiem działań, które prowadziłyby do śmierci zauroczonej istoty. Sformułowanie samobójczego nakazu, kończy działanie czaru. Możesz odwołać ten czar w ramach swojej akcji. Można go rozproszyć również zaklęciem: zdjęcie klątwy, większe przywrócenie lub życzenie.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę 7. lub 8. kręgu, wydłużasz czas trwania do 1 roku. Przy wykorzystaniu komórki 9. kręgu, zaklęcie trwa póki nie zostanie zakończone jednym z wyżej wymienionych czarów.";"Bard"
"5";"KRĄG TELEPORTACYJNY";" Przywoływanie, 5. krąg";" 1 minuta";" 3 metry";" W, M (rzadkie kredy, inkausty barwione kamieniami szlachetnymi o wartości 50 sz, zużywane przez zaklęcie)";" 1 runda";" Kreślisz na ziemi opisany pieczęciami krąg o średnicy 3m, który łączy twoją lokację z wybranym stałym kręgiem teleportacyjnym. Musisz znać sekwencję pieczęci wybranego kręgu i musi on znajdować się w tej samej egzystencji. Wewnątrz powstaje lśniący portal, który pozostaje otwarty do końca twojej następnej tury. Stworzenie wchodzące do portalu przenosi się do kręgu docelowego i pojawia się w obrębie 1,5m od niego lub w najbliższym wolnym miejscu. Gdy po raz pierwszy rzucasz to zaklęcie, poznajesz sekwencję dwóch określonych przez MP kręgów docelowych położonych w Sferze Materialnej. W trakcie swoich przygód możesz poznać kolejne sekwencje pieczęci. Aby zapamiętać nową, musisz uczyć się jej przez 1 minutę. Możesz stworzyć trwały krąg teleportacyjny. W tym celu musisz rzucać ten czar w tym samym miejscu codziennie przez 1 rok. Gdy rzucasz zaklęcie w ten sposób, nie możesz korzystać z kręgu, by się  teleportować.";"Bard"
"5";"LEGENDARNA WIEDZA";" Wieszczenie, 5. krąg";" 10 minut";" Na siebie";" W, S, M (kadzidło o wartości co najmniej 250sz, zużywane przez zaklęcie, oraz cztery skrawki kości słoniowej, każdy o wartości co najmniej 50 sz)";" Natychmiastowy";" Nazywasz lub opisujesz istotę, miejsce lub obiekt. Dzięki temu czarowi do twojej głowy napływa krótkie podsumowanie najistotniejszych przekazów na ich temat. Wiedza ta może bazować na krążących obecnie opowieściach, zapomnianych historiach, a nawet sekretach, które nigdy nie były szeroko znane. Jeżeli określona przez ciebie rzecz nie ma legendarnego znaczenia, to nie zdobywasz żadnych informacji. Im więcej już wiesz o celu zaklęcia, tym<br> dokładniejsze i konkretniejsze są uzyskiwane informacje...<br><br>Podręcznik gracza str.232<br>";"Bard"
"5";"MASOWE LECZENIE RAN";" Wywoływanie, 5. krąg";" 1 akcja";" 18 metrów";" W, S";" Natychmiastowy";" Wskazujesz punkt w zasięgu czaru, z którego rozchodzi się fala uzdrawiającej energii. Wybierz do 6 istot znajdujących się w sferze o promieniu 9m ze środkiem we wskazanym miejscu. Każda z nich odzyskuje punkty wytrzymałości w liczbie 3k8 + twój modyfikator z cechy bazowej. Zaklęcie nie działa na konstrukty i nieumarłych. <br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując komórkę co najmniej 6. kręgu, za każdy krąg powyżej 5., przywracasz dodatkowo 1k8PW.";"Bard"
"5";"PODMIANA WSPOMNIEŃ";" Uroki, 5. krąg";" 1 akcja";" 9 metrów";" W, S";" Koncentracja, do 1 minuty";" Istota musi wykonać rzut obronny na Mądrość (ułatwienie, jeśli z nią akurat walczysz). W przypadku niepowodzenia zostaje zauroczona-jest traktowana jako obezwładniona i nieświadoma, ale cię słyszy. Obrażenia=czar się skończy. Możesz wpłynąć na pamięć wydarzenia, którego cel doświadczył w ciągu 24h i nie trwało dłużej niż 10 minut. Możesz je usunąć, zmienić, uniemożliwić przypomnienia, itp. Musisz przemówić do istoty, opisując jej zmiany<br>wspomnienia a ona musi cię rozumieć. Jeśli zaklęcie dobiegnie końca, zanim dokończysz opisywanie wydarzenia zmiana nie udaje się. W pozostałych przypadkach koniec zaklęcia oznacza osadzenie zmodyfikowanego wspomnienia. Nielogiczna modyfikacja pamięci jest odrzucana przez umysł na podobieństwo złego snu. Istocie potraktowanej tym zaklęciem, można przywrócić prawdziwą pamięć, rzucając na nią zdjęcie klątwy, albo większe przywrócenie. Na wyższych kręgach. Jeśli rzucasz ten czar, wykorzystując komórkę co najmniej 6. kręgu, możesz wpłynąć na wspomnienie sprzed nie więcej niż 7 dni. 7. krąg – 30 dni. 8. krąg – 1 roku. 9. krąg – dowolnego momentu w przeszłości celu.";"Bard"
"5";"POZORY";" Iluzje, 5. krąg";" 1 akcja";" 9 metrów";" W, S";" 8 godzin";" Zmieniasz wygląd dowolnej liczby istot w zasięgu czaru. Cel zaklęcia może wykonać rzut obronny na Charyzmę, aby oprzeć się zaklęciu. Udany rzut niweluje działanie. Iluzja nie może przedstawiać ciała innego rodzaju, więc musisz działać w granicach jego kształtu, a tym samym, trzymać się pierwotnego rozmieszczenia kończyn. Poza tym, twoje możliwości ogranicza jedynie twoja inwencja. Iluzja będzie trwała przez cały czas działania czaru, chyba że wykorzystasz swoją akcję, by wygasić ją wcześniej.<br><br>Zmiany spowodowane tym zaklęciem nie wpływają na interakcje fizyczne. Przykładowo, jeśli strój wybranej osoby wzbogacisz o iluzoryczny kapelusz, inne przedmioty będą przez niego przenikać, a dotykająca go osoba nie  poczuje pod palcami nic, albo wymaca głowę i włosy noszącej go osoby. Jeśli użyjesz tego zaklęcia, by wydać się szczuplejszym, niż jesteś, to sięgająca ku tobie dłoń zderzy się z tobą, choć<br>będzie wyglądać, jakby właściciel zatrzymał ją w powietrzu. Istota może w ramach swojej akcji zbadać cel objęty iluzją i wykonać test Inteligencji (Śledztwo) o ST rzutu obronnego przeciw twoim czarom. Jeśli jej się powiedzie, zorientuje się, że cel jest przebrany.";"Bard"
"5";"PRZEBUDZENIE";" Przemiany, 5. krąg";" 8 godzin";" Dotyk";" W,SM, (agat o wartości co najmniej 1000sz, zużywany)";" Natychmiastowy";" Przez czas rzucania czaru, śledzisz magiczne ścieżki rozpięte wewnątrz drogocennego klejnotu. Następnie dotykasz zwierzęcia lub rośliny w rozmiarze Wielkim lub mniejszym. Cel zaklęcia musi mieć wartość Inteligencji nie większą niż 3 lub w ogóle nie posiadać tej cechy. Zyskuje on Inteligencję 10 wraz ze zdolnością mowy w jednym ze znanych ci języków. Jeżeli celem zaklęcia jest roślina, zyskuje zmysły analogiczne do ludzkich oraz możliwość poruszania kończynami, korzeniami, pnączami i podobnymi częściami. Statystyki odpowiednie dla przebudzonej rośliny wybiera MP, np. statystyki przebudzonego drzewa lub krzewu. <br><br>Przebudzona bestia lub roślina jest tobą zauroczona przez 30 dni lub do czasu, w którym ty lub twoi towarzysze wyrządzicie jej jakąkolwiek krzywdę.<br><br>Gdy kończy się zauroczenie, przebudzona istota decyduje, czy pozostanie ci przyjazna, zależnie od tego, jak ją traktowałeś. ";"Bard"
"5";"SEN";" Iluzje, 5. krąg";" 1 minuta";" Specjalny";" W, S, M (garść piasku, odrobina inkaustu i pióro wyrwane śpiącemu ptakowi)";" 8 godzin";" Istoty, które nie śpią, nie mogą być celem tego zaklęcia. Istota, której dotkniesz (możesz być nią ty), wpada w trans, przyjmując rolę posłańca. Nie może wykonywać akcji ani się przemieszczać.<br>Jeśli istota będąca celem zaklęcia śpi, to posłaniec pojawia się w jej śnie i może z nią rozmawiać, dopóki cel śpi i trwa zaklęcie. Posłaniec wpływa również na wizje senne,może w każdej chwili wyjść z transu, kończąc czar. Po przebudzeniu, cel zaklęcia pamięta sen. Jeśli natomiast cel nie śpi, kiedy rzucasz zaklęcie, to posłaniec dowiaduje się o tym i może albo zakończyć trans (i zaklęcie), albo poczekać, aż cel zaśnie. Możesz nadać posłańcowi potworny wygląd. Jeśli tak zrobisz, będzie mógł przekazać najwyżej 10 słów, po których cel zaklęcia musi wykonać rzut obronny na Mądrość. W przypadku niepowodzenia, echo urojonych potworności będzie męczyć go w koszarach aż do przebudzenia. Co więcej, po obudzeniu otrzyma 1k6 obrażeń psychicznych...<br><br>Podręcznik gracza str.261<br>";"Bard"
"5";"SFERALNE WIĄZANIE";" Odpychanie, 5. krąg";" 1 godzina";" 18 metrów";" W, S, M (klejnot o wartości co najmniej 1000 sz, zużywany przez zaklęcie)";" 24 godziny";" Zmuszasz czarta, fey, niebianina lub żywiołaka, by ci służył. Musi przebywać w zasięgu czaru. Pod koniec rzucania, cel wykonuje rzut obronny na Charyzmę. W przypadku niepowodzenia,zostaje zmuszony,by ci służyć. Jeżeli jest istotą przywołaną lub stworzoną za pomocą innego zaklęcia, to jego działanie zostaje wydłużone o czas sferalnego wiązania. Możesz rozkazać jej towarzyszyć ci, strzec jakiegoś miejsca albo dostarczyć wiadomość. Jest posłuszna twoim rozkazom, ale jeśli jest ci wroga, to będzie próbowała interpretować twoje wytyczne na swoją korzyść. Jeżeli istota ukończy wypełnianie twoich rozkazów przed końcem czaru, to wraca do ciebie powiadomić cię o tym, o ile znajduje się w tej samej sferze egzystencji. Jeżeli znajdujesz się w innej sferze, to istota powraca w miejsce swego magicznego związania i pozostaje tam do zakończenia czaru...<br><br>Podręcznik gracza str.262";"Bard"
"5";"UNIERUCHOMIENIE POTWORA";" Uroki, 5. krąg";" 1 akcja";" 27 metrów";" W, S, M (mały, prosty kawałek żelaza)";" Koncentracja, do 1 minuty";" Wybierasz stworzenie, które widzisz w zasięgu czaru. Cel musi wykonać rzut obronny na Mądrość. W przypadku niepowodzenia, zostaje sparaliżowany na czas trwania czaru. Zaklęcie nie działa na nieumarłych. Pod koniec każdej swojej tury, cel może ponowić rzut na Mądrość. Udany rzut oznacza wyzwolenie się z efektu czaru.<br><br>Na wyższych kręgach. Jeśli rzucasz ten czar,<br>wykorzystując, komórkę co najmniej 6. kręgu, za każdy krąg powyżej 5. możesz objąć czarem jedno dodatkowe stworzenie. Wszystkie cele zaklęcia muszą znajdować się w obrębie 9 metrów od siebie.";"Bard"
"5";"WIĘKSZE PRZYWRÓCENIE";" Odpychanie, 5. krąg";" 1 akcja";" Dotyk";" W, S, M (diamentowy pył o wartości co najmniej 100 sz, zużywany przez zaklęcie)";" Natychmiastowy";" Napełniasz dotkniętą istotę pozytywną energią i odwracasz jeden z osłabiających ją efektów, Możesz zmniejszyć jeden poziom jej zmęczenia albo zakończyć działanie jednego z poniższych efektów:<br><br>*Jednego efektu, który z spowodował jej zauroczenie lub skamienienie,<br><br>*Jednej klątwy, włączając w to połączenie z przeklętym magicznym przedmiotem,<br><br>*Dowolnego zmniejszenia wartości jednej z jej cech,<br><br>*Jednego efektu zmniejszającego jej maksymalne punkty wytrzymałości.";"Bard"
"5";"WIZJA";" Wieszczenie, 5. krąg";" 10 minut";" Na siebie";" W, S, M (fokus o wartości co najmniej 1000sz, taki jak kryształowa kula, srebrne lustro, lub misa z wodą święconą)";" Koncentracja, do 10 minut";" Jesteś w stanie zobaczyć i usłyszeć określoną istotę przebywającą w tej samej sferze egzystencji co ty. Cel musi wykonać rzut obronny na Mądrość, modyfikowany stopniem twojej znajomości celu i rodzajem fizycznego powiązania, które z nim posiadasz( str. 278). Jeżeli cel zdaje sobie sprawę, że rzucasz ten czar, może dobrowolnie poddać się obserwacji i ponosi automatyczną porażkę w rzucie obronnym. Udany rzut obronny = wieszczenie się nie udało, a ty nie możesz ponowić go na tej istocie przez najbliższe 24 godziny. W przypadku nieudanego rzutu, czar tworzy niewidzialny czujnik w obrębie 3 metrów od celu. Możesz patrzeć i słuchać za jego pośrednictwem, tak jakbyś tam był...<br><br>Podręcznik gracza str.279";"Bard"
"5";"WSKRZESZENIE";" Nekromancja, 5. krąg";" 1 godzina";" Dotyk";" W, S, M (diament o wartości co najmniej 500sz)";" Natychmiastowy";" Dotykasz istotę zmarłą nie dawniej niż 10 dni temu i przywracasz ją do życia. Jeżeli jej dusza jest wolna i chętna powrócić do ciała, to istota wraca do życia z 1 PW. <br>Czar neutralizuje jednocześnie wszelkie trucizny i leczy niemagiczne choroby, które nękały istotę w chwili jej śmierci. Należy jednak pamiętać, że to zaklęcie nie usuwa magicznych chorób, klątw i podobnych efektów, jeżeli nie zostaną usunięte wcześniej, to zaczną działać zaraz po ożywieniu celu. Zaklęcie nie może zwrócić życia nieumarłemu. <br><br>Czarem zamykasz wszystkie śmiertelne rany, ale nie przywracasz utraconych części ciała. Jeżeli wskrzeszona istota nie posiada części ciała lub organów kluczowych dla jej przeżycia, np. głowy, to zaklęcie nie zadziała. <br>Powrót zza grobu to droga przez mękę. Wskrzeszona osoba ma karę -4 do wszystkich testów ataku, rzutów obronnych i testów cech. Po każdym ukończeniu długiego odpoczynku kara zmniejsza się o 1, aż do całkowitego zniknięcia.";"Bard"
